english_name,scientific_name
Rosy-billed Pochard,Netta peposaca
Ferruginous Duck,Aythya nyroca
Madagascar Pochard,Aythya innotata
Baer's Pochard,Aythya baeri
Hardhead,Aythya australis
Common Pochard,Aythya ferina
Canvasback,Aythya valisineria
Ring-necked Duck,Aythya collaris
Redhead,Aythya americana
Tufted Duck,Aythya fuligula
New Zealand Scaup,Aythya novaeseelandiae
Lesser Scaup,Aythya affinis
Greater Scaup,Aythya marila
Salvadori's Teal,Salvadorina waigiuensis
Crested Duck,Lophonetta specularioides
Bronze-winged Duck,Speculanas specularis
Brazilian Teal,Amazonetta brasiliensis
Flying Steamer Duck,Tachyeres patachonicus
Fuegian Steamer Duck,Tachyeres pteneres
Falkland Steamer Duck,Tachyeres brachypterus
Chubut Steamer Duck,Tachyeres leucocephalus
Baikal Teal,Sibirionetta formosa
Garganey,Spatula querquedula
Blue-billed Teal,Spatula hottentota
Puna Teal,Spatula puna
Silver Teal,Spatula versicolor
Red Shoveler,Spatula platalea
Blue-winged Teal,Spatula discors
Cinnamon Teal,Spatula cyanoptera
Cape Shoveler,Spatula smithii
Northern Shoveler,Spatula clypeata
Australasian Shoveler,Spatula rhynchotis
Falcated Duck,Mareca falcata
Gadwall,Mareca strepera
Eurasian Wigeon,Mareca penelope
American Wigeon,Mareca americana
Chiloe Wigeon,Mareca sibilatrix
African Black Duck,Anas sparsa
Meller's Duck,Anas melleri
Yellow-billed Duck,Anas undulata
Philippine Duck,Anas luzonica
Pacific Black Duck,Anas superciliosa
Hawaiian Duck,Anas wyvilliana
Laysan Duck,Anas laysanensis
Eastern Spot-billed Duck,Anas zonorhyncha
Indian Spot-billed Duck,Anas poecilorhyncha
Mallard,Anas platyrhynchos
Mexican Duck,Anas diazi
American Black Duck,Anas rubripes
Mottled Duck,Anas fulvigula
Cape Teal,Anas capensis
White-cheeked Pintail,Anas bahamensis
Red-billed Teal,Anas erythrorhyncha
Yellow-billed Pintail,Anas georgica
Northern Pintail,Anas acuta
Eaton's Pintail,Anas eatoni
Green-winged Teal,Anas crecca
Yellow-billed Teal,Anas flavirostris
Andean Teal,Anas andium
